ChineseName,EnglishName,ChineseAddress,EnglishAddress,Phone,RoomCount
米窩飯店-松山,FORWARD HOTEL TAIPEI,臺北市信義區松山路153號2-7樓,"1-7F., No.3, Yijiang St., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27565659,33
丹迪旅店-天母店,chez Taipei No5,臺北市士林區中山北路六段728巷2號1-7樓,"No.160-5, Yanping S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-28732222,54
鳳凰閣旅社,Roumei Hotel,臺北市北投區溫泉路106之1號,"No.9, Lane 64, Sec. 2, Jianguo N. Rd., Jhongshan District, Taipei City 104, Taiwan (R.O.C.)",02-28912827,25
柯達大飯店台北二店,Wholesome Hotel,臺北市中山區中山北路二段139號,"1F-6F., No.247, Guangzhou St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-25255555,87
華泰瑞舍,Hanns Summer Hotel,"臺北市中山區林森北路357及359號2樓,-1,-2,-3,-5,-6至7樓,-1,-2,-3,-5,-6、2樓-7,-8,-9至5樓-7,-8,-9","No. 62, Section 3, Tingzhou Road, Zhongzheng District, Taipei City",02-25310699,48
國王大飯店,JEN JU HOTEL,臺北市中山區南京東路1段118號,"3F., No.67, Sec. 5, Yanping N. Rd., Shihlin District, Taipei City",02-25811111,97
旅居文旅西門驛站昆明館,Dahu Hotel,臺北市萬華區昆明街142號7-8樓,"No. 462, Section 5, Chenggong Road, Neihu District, Taipei City 1st Floor, 3rd to 14th Floor, 3rd Fl",02-23818131,37
有誠商旅,JIA RONG HOTEL,臺北市士林區至善路二段55號4樓至10樓,"No.11, Lane 28, Taiyuan Rd., Datong District, Taipei City",02-88615599,64
新仕商務旅店　　,NING XIA No.2 INN,臺北市中山區民生西路8號及附2-12樓,"No.2, Ningxia Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-25627466,44
馥麗精品旅館,"HotelsHere, Ximen",臺北市內湖區內湖路1段325號1-5樓,"4F.-1-2-3, No.28, Emei St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-26586167,28
美上美旅館,Green World Sansui,臺北市萬華區西園路一段168號11樓,"10-12F., No.181, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23088105,9
富順大飯店,Greenworld songshan,臺北市大同區南京西路177號,"No.149, Yucheng St., Nangang Dist., Taipei City 115, Taiwan (R.O.C.)",02-25551016,88
苓旅旅館中山館,COMMA Boutique Hotel,"臺北市中山區建國北路2段91號1樓,93號1至7樓,2樓-1至7樓-1,95巷2號1樓,4號1樓","1-15th floor,No. 77, Xining South Road, Wanhua District, Taipei City",02-25084588,42
京都商務旅館,HEJ,臺北市中山區長春路38號3-10樓,"No.87, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-25673366,40
白色空間設計旅店,Capella Taipei,臺北市中正區許昌街40號4樓、4樓之1、4樓之2,"No. 131、133、、137、139, Dunhua N. Rd., Songshan Dist., Taipei City 105021 , Taiwan (R.O.C.)",02-23822200,13
皇后旅店二館,Forte Orange Hotel-Ximen,臺北市大同區南京西路163號四樓之2,"No. 166-2, Section 1, Zhonghua Rd., Wanhua Dist., Taipei City 10846, Taiwan(R. O. C)",02-25555877,30
古奈堡精品旅館,Cityinn Hotel Taipei Station Branch II,臺北市萬華區峨眉街28號5樓之1,"No.83, Chang-an W. Rd., Datong District, Taipei City 103, Taiwan (R.O.C.)",02-23816808,8
豐宿創新壹旅,GALAXY HOTEL,臺北市大同區南京西路165號6樓,"No.6, Ln. 147, Hanzhong St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-77557937,28
洛碁大飯店中華館,Brown House Hotel,臺北市中正區中華路一段41號2樓、3樓、10樓至14樓,"26 F., No. 50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City",02-23705158,197
晶華酒店,Lucky Apple Hotel,臺北市中山區中山北路2段39巷3號,"No.109-2,Emei St.Wanhua Dist,Taipei City 108,Taiwan(ROC)",02-25238000,550
台北國泰萬怡酒店,ROADERS PLUS HOTEL-THEME,臺北市中山區民生東路三段6號地下1樓、1、2、14至20樓,"5-12F., No. 80, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-77503377,227
時尚居商旅,MAY ROOMS TAIPEI,"臺北市中山區民生東路三段9巷1之1號2樓, 1之1號 3樓,1之1號4樓, 1之2號2樓, 1之2號3樓, 1之2號4樓, 1之3號2樓, 1之3號3樓, 1之3號4樓","2-3F., No.229, Sec. 1, Nangang Rd., Nangang Dist., Taipei City 115, Taiwan (R.O.C.)",02-25090102,8
新驛旅店,Taipei International Hotel,臺北市中正區懷寧街7號,"3F-10F., No. 66, Sec. 1, Nanjing E. Rd., Zhongshan Dist., Taipei City 104 , Taiwan (R.O.C.)",02-23148008,51
美侖商旅,Green World Sansui,臺北市中山區吉林路49號1至8樓,"7-9F., No.181, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25313535,70
長虹大飯店,Sonnien Hotel,"臺北市萬華區漢中街36號1,3-8樓","No.6,8 Sec. 3, Ren’ai Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23119193,68
大師會館國際酒店,Grand View Resort Beitou,臺北市大同區市民大道1段211號16樓等25室,"No.30, Youya Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-25597722,24
內江賓?,SPARKLE HOTEL,臺北市萬華區西寧南路112號2-6樓,"B1F., No.16, Sec. 5, Xinyi Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",02-23812147,17
町記憶旅店2館,Green World ZhongXiao,臺北市萬華區昆明街113號2-4樓，115號1-4樓,"No.180, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23709830,27
旅家雅舍,Jolley Hotel,臺北市中正區南昌路二段222號11樓,"2F-13F，3F-1、2、3、5、6~12F-1、2、3、5、6,13F-1.,No.568, Linsen N. Rd.,Zhongshan Dist.,Taipei City Taiwan",0926-657353,7
斯格加旅店,Hotel Cozzi Mingsheng Taipei,臺北市中山區林森北路72號1樓至4樓,"1-12F., No.178, Sec. 2, Minsheng E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25629117,7
涪美飯店,"Hotel Eclat, Taipei",臺北市中正區重慶南路一段94號,"No.370, Sec. 1, Dunhua S. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23810086,49
清翼居旅店童話館,G Hotel Tianjin Street,臺北市中正區開封街1段36號3-7樓,"2-8F., No.57, Tianjin St., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23117168,39
溫拿旅館,Jin Dou Jingzhi Hot Spring Hotel,臺北市北投區承德路7段380號1-5樓,"1-6F., No.240, Guangming Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-28213191,28
賓王大飯店,Waterfront Hotel,臺北市大同區南京西路163號3至4樓,"1-8F., No. 112, Songhe St., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-25555182,53
采舍精品旅館,Royal Rose Hotel Station,臺北市中山區農安街34號3樓及7樓,"No.3, Huayin St., Zhongshan Dist., Taipei City 10444, Taiwan (R.O.C.)",02-25963969,35
福爾摩莎壹零壹旅館,SAY LOVE HOTEL,臺北市信義區基隆路二段115號5樓、5樓之1及9樓,"3F., No.72, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23771579,34
雅璞文旅,PANCO HOTEL,臺北市中正區黎明里10鄰館前路8號5樓及8樓,"No. 39, Ln. 135, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23709966,64
台北五號商旅,Sevenday Hotel,臺北市中正區延平南路160之5號(1樓至4樓),"No.282, Sec. 2, Huanhe S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23883067,6
正二旅館,LININN ZS,臺北市中正區漢口街一段2號3-9樓,"No.93, Sec. 2, Jianguo N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23708008,55
富園國際商務飯店,SOTETSU TAIPEI XIMEN,臺北市萬華區中華路一段178號,"No. 57, Section 1, Zhonghua Road, Zhongzheng District, Taipei City",02-23887890,45
台北馥華商旅,Green World Sansui,臺北市中山區一江街3號、3號2樓、2樓之1至之14、3號3樓、3樓之1至之14、3號4樓、4樓之1至之14、3號5樓、5樓之1至之14、3號6樓、6樓之1至之14、3號7樓、7樓之1至之14,"1-5F., No.181, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25118896,90
紫園旅社,Simple+ hotel,臺北市大同區南京西路18巷30號,"No.52, Ln. 4, Dunhua N. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-25557178,27
松哖酒店,4 Plus Hostel,臺北市大安區仁愛路三段6號及8號1至12樓,"1~4F., No.72, Linsen N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27070101,89
台北寒舍艾美酒店,TI HWA HOTEL,臺北市信義區松仁路38號,"11-12F., No.206, Guilin Rd., Wanhua District, Taipei City",02-66228000,160
台北碧瑤飯店,HOTEL PURI TAIPEI STATION,臺北市松山區八德路二段367號1-10樓,"3F., No.46, Huayin St., Datong District, Taipei City",02-27813121,84
俞美飯店,Sunny Hostel,臺北市萬華區武昌街二段106號2-8樓,"1-6F., No.92-2, Huaining St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23883008,42
金弘旅社,CH PLACEX HOTEL,臺北市大同區南京西路316號4樓,"B1,NO109 section 5,Xinyi Road,Xinyi Pistrict 11075",02-25554038,19
香榭峇里賓館,HOTEL GRACERY TAIPEI,臺北市大安區忠孝東路三段305號7樓,"3-19F., No. 89, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100013 , Taiwan (R.O.C.)",02-27114159,9
台北世聯商旅,HOTEL BSTAT,臺北市中山區松江路90巷5號1至7樓,"3F., No.71, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25626161,44
天使青旅,Royal Rose Hotel x?nsh?ng,臺北市中正區衡陽路51號2樓之2,"No.37, Ln. 103, Sec. 1, Xinsheng S. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23131319,8
城市商旅南東館,Royal Rose Hotel Zhongshan,臺北市松山區南京東路五段411號地下三樓至7樓,"No.8, Ln. 133, Linsen N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-27425888,127
圓山大飯店,"Shangri-La Far Eastern, Taipei",臺北市中山區中山北路4段1巷1號,"No.201, Sec. 2, Dunhua S. Rd., Da-an Dist., Taipei City 106, Taiwan (R.O.C.)",02-28868888,408
富逸旅趣-北車開封館,Ambience Hotel,臺北市中正區開封街1段41號2-9樓,"2~10F,No.64, Sec. 1, Chang’an E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23881788,42
旅樂序精品旅館,Bon Hotel Taipei,臺北市中正區館前路8號10樓、11樓,"4F,No.95-1,Songjiang Rd.,Zhongshan Dist.,Taipei City104,Taiwan(R.O.C)",02-23832727,34
南港安樂旅社,CHECKinn Select Taipei NanGang,臺北市南港區南港路一段229號2-3樓,"No.59, Chongyang Rd., Nangang Dist., Taipei City 115, Taiwan (R.O.C.)",02-26511797,10
町記憶旅店,HOTEL PROVERBS TAIPEI,臺北市萬華區昆明街117號、117之1至之6號及119號、119之1至之6號1至7樓,"No.56, Sec. 1, Da’an Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23709830,42
北投老爺酒店,Rido Hotel,臺北市北投區中和街2號1樓及6至12樓,"No.11, Sec. 3, Xinyi Rd., Da-an Dist., Taipei City 106, Taiwan (R.O.C.)",02-28969777,50
雅莊旅館,Ximen Citizen Hotel,"臺北市中山區民族東路438號B1至4樓,440號B1至5樓","No. 94, Emei St., Wanhua Dist., Taipei City 108, Taiwan (R. O. C)",02-25075999,37
雀客快捷台北永康,Via Hotel Taipei Station,臺北市中正區信義路二段73號(1至7樓、1樓夾層、公共使用),"No.60, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23212721,43
福華國際文教會館,NK Hostel,臺北市大安區新生南路3段30號(住宿棟1 樓及5樓至14樓),"5F, No.399, Sec5, Nanjing. E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-77122323,279
玉璽精品飯店,TAIPEI CITIZEN HOTEL,臺北市士林區中山北路七段14巷2之3號2至10樓、11樓（11層及12層）,"No.80, Sec. 1, Jinshan S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-28766579,85
台北漢來大飯店,ODD Hotel Taipei HangZhou,臺北市南港區經貿一路168號,"No. 12, Sec. 1, Hangzhou S. Rd., Zhongzheng Dist., Taipei City",02-27886868,424
東棧商務旅店,sunrise business hotel ximen,"臺北市大安區忠孝東路四段209號8樓,8樓-1,-2,211號8樓,8樓-1","1-5F., No.24, Guilin Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27117721,23
台北中山意舍酒店,one plus one hotel,臺北市中山區中山北路二段57之1號1至8樓,"3F., No.34, Kunming St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-25652828,90
漫映旅舍,wowhappy-taipei,臺北市中山區吉林路32號1-5樓,"No.8,Sec.1,Jinshan S.Rd., Zhongzheng Dist., Taipei City 100,Taiwan(R.O.C)",02-25222111,14
柔美商旅,Hwa Da Hotel,臺北市中山區建國北路二段64巷9號,"1-7F., No.150, Ln. 30, Yongji Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",02-25031133,47
台糖台北會館,RF HOTEL LINSEN,臺北市中正區中華路一段39號,"1F, No.23, Ln.85, Linsen N. Rd, Zhongzheng Dist,Taipei City 100, Taiwan",02-23885522,68
沃客汽車旅館,JustSleep Taipei NTU,臺北市北投區承德路七段236號,"No.83,Sec.4,Roosevelt Rd., Da&#39;an Dist.,Taipei City 106032,Taiwan(R.O.C)",02-28226666,63
柯達大飯店台北南京,The Place Taipei,臺北市松山區南京東路三段333號2至11樓,"No.196, jingmao 2nd Rd., Nangang Dist., Taipei City 115, Taiwan(R.O.C)",02-27196666,64
苓旅旅館萬年館,ColorMIX Hotel & Hostel,臺北市萬華區西寧南路70號7樓,"No.22, Ln. 55, Neijiang St., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23814188,29
台北時代寓所,MEADOW HOTEL,臺北市中正區林森南路7號1至14樓、7-1號1樓,"2-9F., No.246, Changchun Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-77521888,175
柯達大飯店敦南店,Workinn at Taipei Main Station,臺北市大安區敦化南路二段238號B1-14樓,"8F、9F., No.13, Gongyuan Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-27323333,77
薇閣精品旅館,Mosha Hotel-Ximen,"臺北市中山區錦州街27、29號,31號2-4樓","8th Floor, 1st Floor of 8th Floor, 6th Floor of 8th Floor, 7th Floor of 8th Floor, 8th Floor of 8th",02-25318000,87
欣欣時尚旅店松山站,Mingxing Hotel,臺北市松山區八德路四段453巷12號8-9樓,"2-3F., No.21, Chengdu Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27688832,32
立建賓館,EverGreen Hotel,"臺北市松山區八德路四段656,656-1號7-8樓","No.29, Cingcheng St., Songshan District, Taipei City 105, Taiwan (R.O.C.)",02-27691135,66
洛碁大飯店忠孝館,Orange Hotel Ximen Hanzhong,臺北市大安區忠孝東路四段180號1樓、4樓至14樓,"1-14F., No. 170, Hanzhong St., Wanhua Dist., Taipei City 108",02-27116869,150
西門雲町旅店,CHRYSLER HOTEL,臺北市萬華區漢中街52號12樓至13樓,"4-6F., No.241, Sec. 3, Roosevelt Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23112555,32
路徒PLUS行旅-站前館,Golden Garden Hotel,臺北市中正區忠孝西路一段80號4樓、24至35樓,"No.176, Sec. 4, Bade Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-23886366,127
富裕自由商旅,"EPISODE Dann Taipei, JdV by Hyatt",臺北市大安區忠孝東路四段235號2樓、2樓之1、3樓、3樓之1、4樓之1、5樓之1、6樓之1、7樓、7樓之1及9樓,"5F, No.219-2,Sec.1,Fuxing S.Rd.,Da&#39;an Dist,.Taipei City 106234,Taiwan(R.O.C.)",02-27413147,67
大安公園旅店,QUEEN HOTEL,臺北市中正區信義路2段271號8樓,"No.226, Chang’an W. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-23965222,13
綺樂文旅 康定館,CityInn Hotel Branch 1,臺北市萬華區康定路32號1至6樓,"No.7, Huaining St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-23615868,23
華麗大飯店,Nei Jiang Hotel,臺北市萬華區康定路41號,"No.112, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-23818111,88
木文陶喜時尚旅館,COZY HOME,臺北市信義區基隆路一段155號2樓之2、2樓之3,"2F., No. 63, Section 1, Chongqing South Road, Zhongzheng District, Taipei City",02-27494698,15
燦路都飯店,Hub Hotel - Taipei Songshan Airport,臺北市中山區民權東路1段9號地下1樓、2-10樓,"Song Jiang Road, No.485, Taipei City",02-25973610,125
旅城驛鎮,Phoenix-hotspring.taiwan,臺北市中山區松江路95-1號6樓,"No.106-1, Wuncyuan Rd.,Beitou District, Taipei City 112, Taiwan (R.O.C.)",02-25081848,10
首都唯客樂飯店,Huada Hotel,臺北市中山區長春路187號1-9樓,"6-12F., No.151, Nanjing W. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-25070168,80
古山園旅社,Renaissance Taipei Shihlin Hotel,臺北市萬華區華西街40巷16號,"No.8,Ln.470,Sec.5, Zhongshan N. Rd., Shilin Dist., Taipei City 111, Taiwan",02-23067408,20
星西門行旅,V one Hotel,臺北市萬華區西寧南路36號9樓、9樓之1、9樓之31至43、9樓之45至51、10樓之1,"3F., No.197, Sec. 2, Yanping N. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-23313188,54
大地酒店,Twin Star Inn,臺北市北投區奇岩路1號,"B3., No. 50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City",02-55518888,48
朗司旅館,Taipei Marriott Hotel,臺北市大安區信義路3段147巷18號、2樓至7樓、2樓之1及6樓之1,"No.199, Lequn 2nd Road ? (Intersection with Jingye 4th Road), Zhongshan District, Taipei City, Taiwa",02-27018110,25
天母之星商務會館,First Hotel,"臺北市北投區石牌路一段166巷46號,2樓至7樓、2樓之1至5樓之1、2樓之2至5樓之2","No.63, Sec. 2, Nanjing E. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-28231896,17
信星旅館,sky 19 hotel,臺北市大同區華陰街48號至48之11號4樓、50號至50之11號5樓,"19F,19F-1、-2、-5、-17、-27、-29、-31、-43, No. 50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City",02-25562015,57
台北北投雅樂軒酒店,RE-CHANGE,臺北市北投區中央里大業路302號、300巷1號，2樓,"2F., No.1, Sec. 1, Chongqing S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-77011788,292
西悠巢旅台北館,ARISTOCRAT HOTEL,臺北市大同區民生西路198號之2 (代表號),"No.20, Lane 379, Jilin Rd., Jhongshan District, Taipei City 104, Taiwan (R.O.C.)",02-25585500,87
台北花園大酒店,Alper Motel,臺北市中正區中華路2段1號,"No.325, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-23143300,241
寧夏2號旅店,Meworld Hotel-Zhongshan,臺北市大同區寧夏路2號,"3F., No.30,32, Ln. 183, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25507619,19
酩月大飯店,CHECKinn Taipei NeiHu,臺北市萬華區成都路21號4至5樓，23號4至5樓，27巷1號4至5樓,"1-12F., No.1, Aly. 34, Ln. 123, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei City 114059, Taiwan (R.O",02-23755218,31
和旅瓏旅館西門館,Funstay Inn(Cheng Du),臺北市萬華區西寧南路105號2至5樓、2樓之1至5樓之1,"2-4F., No. 99, Chengdu Rd",02-23616569,42
老爺大酒店,HUNGLINGKE HOTEL,臺北市中山區中山北路2段37之1號,"No.80,82, Emei St., Wanhua District, Taipei City 108, Taiwan (R.O.C.)",02-25423266,202
洛碁大飯店林森館,T.O HOTEL,臺北市中山區林森北路617號1至10樓,"2F., No. 2, Sec. 1, Kaifeng St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-25955225,80
欣欣時尚旅店,NEW WORLD HOTEL,臺北市萬華區昆明街34號4樓,"3-9F., No.141, Kunming St., Wanhua District, Taipei City 108, Taiwan (R.O.C.)",02-23112898,13
茹曦酒店,CheersLoft,臺北市松山區敦化北路100號,"2F,N0.11,Sec.2,Changsha St. Wahua Dist. , Taipei City 108, Taiwan",02-27198399,312
華大HOTEL,Tango Hotel Taipei Zhong Shan,臺北市信義區永吉路30巷150號1-7樓,"NO.7,Ln.83,Sec.1,Zhongshan N.rd,Zhongshan Dist,Taipei city104,taiwan(R.O.C)",02-27635313,24
首都大飯店松山館,Gorgeous Hot Spring Resort,臺北市松山區八德路四段658號1至12樓,"No.4-2, Yinguang Ln., Wenquan Rd., Beitou Dist., Taipei City 112, Taiwan (R.O.C.)",02-77375577,123
凱達大飯店,LION PALACE HOTEL,臺北市萬華區艋舺大道167號,"3-5F., No.179, Huayin St., Datong District, Taipei City 103, Taiwan (R.O.C.)",02-23066777,745
帝華旅社,May Rooms Taipei NTU Gongguan Branch,臺北市萬華區桂林路89號11-12樓,"No.208, Sec. 4, Roosevelt Rd., Wunshan District, Taipei City",02-23118411,32
路徒PLUS行旅-主題館,S-AURA HOTEL,臺北市中正區忠孝西路一段80號5至12樓,"7-11F., No.566, Sec. 2, Tiding Blvd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)　",02-23311788,109
大倉久和大飯店,O Fun Hotel,臺北市中山區南京東路1段9號,"5F., No. 90, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City",02-25231111,208
雅齊旅館,Just Palace,臺北市中正區重慶南路1段86號3樓、3樓之1、4樓、4樓之1、5樓及3樓、4樓等共同使用、5樓共同使用,"No.55, Jiangnan St., Neihu Dist., Taipei City 114, Taiwan (R.O.C.)",02-23709988,93
尚印旅店,Royal Rose Hotel Shuangcheng,臺北市中山區中山北路二段71號8樓,"No.8, Ln. 28, Shuangcheng St., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-25682270,23
捷絲旅臺大尊賢館,EASTERN STAR HOTEL,臺北市大安區羅斯福路4段83號1-10樓,"11F., No.209, Sec. 4, Zhongxiao E. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-77355088,76
日光拾玖,Wego Motel Taipei,臺北市中正區忠孝西路一段50號19樓、19樓之1、之2、之5、之17、之27、之29、之31、之43及19樓等共同使用,"No.27, Jinzhou St., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23889998,40
東姿商務旅館,Cityinn Hotel Plus - Ximending Branch,臺北市中山區一江街33號1-4樓,"1,2,4,6,7F., No.124, Hengyang Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-25638866,29
新驛旅店復興北路店,MGH Mitsui Garden Hotel Taipei Zhongxiao,臺北市中山區復興北路338號,"No. 30, Sec. 3, Zhongxiao E. Rd., Da’an Dist., Taipei City, 106, Taiwan (R.O.C.)",02-25158777,120
洛碁大飯店舞衣南京館,Jianshan Hotel,臺北市中山區南京東路二段163號1-8樓,"No.182, Guisui St., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-25035511,40
宜家居商旅,CHECK inn Taipei XinYi,臺北市北投區中和街40號3樓及3樓之1,"3-13F., No.468, Sec. 4, Xinyi Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)",02-28910502,39
東楓商旅,I Play Inn,臺北市大安區忠孝東路四段209號7樓、7樓之1、7樓之2、211號7樓,"12F., No.30, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27211511,22
碩美精品飯店,Mellowfields Hotel,臺北市中山區中山北路2段71號3樓,"No.113, Sec. 7, Zhongshan N. Rd., Shilin Dist., Taipei City 111, Taiwan (R.O.C.)",02-25621598,25
千彩格精品旅店　,Fashion Residence Business Travel Limited,臺北市中山區林森北路286號2至3樓,"No. 1-1, Sec. 3, Minquan E. Rd., Zhongshan Dist., Taipei City, Taiwan (R.O.C.)",02-25637555,19
米窩飯店-西門,Linkword Hotel Taipei,臺北市萬華區成都路101、103號1-6樓,"1-7F., No.5, Ln. 90, Songjiang Rd., Zhongshan Dist., Taipei City 104, Taiwan (R.O.C.)",02-23759951,34
貓尾口袋（西門館）,"Fullon Hotel Taipei,Central",臺北市萬華區康定路25巷1號2至4樓,"No.266, Sec. 1, Jianguo S. Rd., Da-an Dist., Taipei City 106, Taiwan (R.O.C.)",02-25586002,10
皇家玫瑰旅館中山館,Rich Garden Hotel,臺北市中山區林森北路133巷8號3樓、4樓、7樓,"No.178, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-25317333,16
思泊客,EVER GREEN HOTEL,"臺北市信義區信義路五段16號B1,18號B1,B1-1","No.185, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-27230999,45
臺北嘉佩樂酒店 Capella Taipei,Tomorrow Hotel,臺北市松山區敦化北路131、133、135、137、139號（地下1樓至2樓、14至17樓）及129號地下1樓至2樓,"4-8F., No.23 and No.1, Ln. 27, Chengdu Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)",02-77096868,86
東京國際飯店,Artinn,臺北市中山區長春路39號2-6樓,"3-11F.,No.8,Xiangyang Rd.,Zhongaheng Dist.,Taipei City,Taiwan(R.O.C)",02-25643733,43
宏洲旅社,VIA HOTEL ZHONGXIAO,臺北市萬華區漢中街4號1-7樓,"3F., No.1, Ln. 126, Sec. 1, Fuxing S. Rd., Da’an Dist., Taipei City 106, Taiwan (R.O.C.)",02-23319841,28
日初青旅,Hermit dorm,臺北市中正區重慶南路一段49號9樓,"17F-18F., No.8,N.10, Sec. 1, Keelung Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)",02-23615222,12
優美飯店,ERIN HOTEL,臺北市中山區民生東路一段28號1-8樓,"No.10, Lane 123, Songjiang Rd., Jhongshan District, Taipei City 104, Taiwan (R.O.C.)",02-25255678,63
明日大飯店,HWA GUAN HOTEL,臺北市萬華區成都路23號、27巷1號6至8樓,"No.137-139, Sichang St., Wanhua District, Taipei City",02-23755500,40
怡品商旅,IF inn,臺北市大安區忠孝東路四段87號13﹑14樓,"2F., No.197, Sec. 2, Yanping N. Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",02-27766136,81
義華酒店,DONG MEN HOTEL,臺北市中山區樂群二路197號,"No.78, Linyi St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)",02-85029988,149
